mean,metric,std
0.9898672103881836,val_accuracy,0.0035784312058240175
0.5331984758377075,val_dice,0.0767025575041771
0.42624491453170776,val_iou,0.06176791712641716
0.6895522475242615,val_precision,0.12577877938747406
0.6343005299568176,val_relative_area_diff,0.17352816462516785
0.5715914368629456,val_sensitivity,0.08042151480913162
0.9962925910949707,val_specificity,0.0011819916544482112
0.5442396998405457,val_loss,0.10209518671035767
0.9887778162956238,test_accuracy,0.0009864765452221036
0.4509444832801819,test_dice,0.036688290536403656
0.3569760322570801,test_iou,0.034756891429424286
0.4998853802680969,test_precision,0.04791099950671196
1.0225856304168701,test_relative_area_diff,0.2776460647583008
0.5409612059593201,test_sensitivity,0.046623677015304565
0.995749831199646,test_specificity,0.0015099415322765708
0.6359884142875671,test_loss,0.03158897906541824
