checkpoint,dataset,fold,test_ap_50,test_ap_55,test_ap_60,test_ap_65,test_ap_70,test_ap_75,test_ap_80,test_ap_85,test_ap_90,test_ap_95,test_f1_iou50_score50,test_fn_iou50_score50,test_fp_iou50_score50,test_map_50,test_map_50_95,test_mean_best_iou,test_num_gt_boxes,test_num_images,test_num_pred_boxes,test_precision_iou50_score50,test_recall_iou50_score50,test_tp_iou50_score50,training_seconds,val_ap_50,val_ap_55,val_ap_60,val_ap_65,val_ap_70,val_ap_75,val_ap_80,val_ap_85,val_ap_90,val_ap_95,val_f1_iou50_score50,val_fn_iou50_score50,val_fp_iou50_score50,val_map_50,val_map_50_95,val_mean_best_iou,val_num_gt_boxes,val_num_images,val_num_pred_boxes,val_precision_iou50_score50,val_recall_iou50_score50,val_tp_iou50_score50
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/VersaMammo/downstream/Detection/saved_model/ZGT_VersaMammo_fold1/VersaMammo (Enb5).pth,ZGT_VersaMammo_fold1,1.0,0.4166271720963961,0.39897403793169883,0.37893812873634425,0.29770392879886987,0.2559616076719644,0.10825484339683888,0.02472527509371003,0.00274725297240766,0.0,0.0,0.4,14.0,28.0,0.4166271720963961,0.188393224669823,0.5654351051364627,28.0,26.0,224.0,0.3333333333333333,0.5,14.0,486.9356713294983,0.5531605552662935,0.45355500603149235,0.3885185225944241,0.38019744330542427,0.18395941658624704,0.043999999970197656,0.027999999493360517,0.019999999552965164,0.0,0.0,0.46575342465753433,8.0,31.0,0.5531605552662935,0.20513909428004046,0.5420534594357014,25.0,24.0,201.0,0.3541666666666667,0.68,17.0
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/VersaMammo/downstream/Detection/saved_model/ZGT_VersaMammo_fold2/VersaMammo (Enb5).pth,ZGT_VersaMammo_fold2,2.0,0.3688158310040204,0.34783948846196244,0.2706481072889182,0.2706481072889182,0.19150247191931458,0.04884282630625425,0.008974359505861021,0.0,0.0,0.0,0.3414634146341463,14.0,40.0,0.3688158310040204,0.1507271191775249,0.4862367427641792,28.0,26.0,161.0,0.25925925925925924,0.5,14.0,480.08488750457764,0.5050597941736399,0.2901430249562129,0.2589637210535838,0.15504352383338638,0.1201494182997801,0.005717804312986505,0.0,0.0,0.0,0.0,0.4788732394366197,12.0,25.0,0.5050597941736399,0.13350772866295896,0.5297005315279139,29.0,27.0,139.0,0.40476190476190477,0.5862068965517241,17.0
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/VersaMammo/downstream/Detection/saved_model/ZGT_VersaMammo_fold3/VersaMammo (Enb5).pth,ZGT_VersaMammo_fold3,3.0,0.44854080782877004,0.39487051542444185,0.34356876497945876,0.25627221316048243,0.18008354054768616,0.13846744949256262,0.05000000244804792,0.05000000244804792,0.0,0.0,0.42696629213483145,9.0,42.0,0.44854080782877004,0.18618032963294978,0.5536824333082352,28.0,26.0,269.0,0.3114754098360656,0.6785714285714286,19.0,495.44078278541565,0.3829150241310293,0.33140034871260005,0.30384089019639093,0.23749191969801675,0.11000189062652854,0.03999999910593033,0.03999999910593033,0.0,0.0,0.0,0.3870967741935484,13.0,25.0,0.3829150241310293,0.14456500715764262,0.5107475438714028,25.0,23.0,207.0,0.32432432432432434,0.48,12.0
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/VersaMammo/downstream/Detection/saved_model/ZGT_VersaMammo_fold4/VersaMammo (Enb5).pth,ZGT_VersaMammo_fold4,4.0,0.557673178465087,0.43943711915257966,0.31346092768689493,0.24084929835059365,0.21034141169367326,0.13622475322765892,0.07086726472685612,0.019747899804546054,0.00714285756860461,0.0,0.48101265822784806,9.0,32.0,0.557673178465087,0.19957447106764942,0.6365467416388648,28.0,26.0,188.0,0.37254901960784315,0.6785714285714286,19.0,497.5556743144989,0.4947223172800701,0.4889647379642774,0.3925714284777637,0.3925714284777637,0.18927272849055843,0.07030303082682865,0.05606060647829009,0.0009090909158641636,0.0,0.0,0.4057971014492754,11.0,30.0,0.4947223172800701,0.2085375368911416,0.5676332148909569,25.0,23.0,136.0,0.3181818181818182,0.56,14.0
