mean,metric,std
24.25,val_num_images,1.8929693698883057
26.0,val_num_gt_boxes,2.0
170.75,val_num_pred_boxes,38.49134063720703
0.537533700466156,val_mean_best_iou,0.023841597139835358
0.4839644432067871,val_ap_50,0.07201812416315079
0.39101576805114746,val_ap_55,0.09527936577796936
0.3359736502170563,val_ap_60,0.06564376503229141
0.2913260757923126,val_ap_65,0.11491994559764862
0.15084585547447205,val_ap_70,0.04156774654984474
0.04000520706176758,val_ap_75,0.026517556980252266
0.031015150249004364,val_ap_80,0.023657508194446564
0.0052272723987698555,val_ap_85,0.009857803583145142
0.0,val_ap_90,0.0
0.0,val_ap_95,0.0
0.4839644432067871,val_map_50,0.07201812416315079
0.1729373335838318,val_map_50_95,0.039429306983947754
0.35035866498947144,val_precision_iou50_score50,0.03952784463763237
0.5765517354011536,val_recall_iou50_score50,0.08244385570287704
0.4343801438808441,val_f1_iou50_score50,0.04478328675031662
15.0,val_tp_iou50_score50,2.4494898319244385
27.75,val_fp_iou50_score50,3.2015621662139893
11.0,val_fn_iou50_score50,2.1602468490600586
26.0,test_num_images,0.0
28.0,test_num_gt_boxes,0.0
210.5,test_num_pred_boxes,46.76537322998047
0.56047523021698,test_mean_best_iou,0.06156018003821373
0.4479142427444458,test_ap_50,0.08017241954803467
0.39528030157089233,test_ap_55,0.03748007491230965
0.32665398716926575,test_ap_60,0.04593639075756073
0.26636838912963867,test_ap_65,0.02417566254734993
0.20947225391864777,test_ap_70,0.03340969979763031
0.1079474687576294,test_ap_75,0.04173139110207558
0.03864172473549843,test_ap_80,0.027333226054906845
0.018123788759112358,test_ap_85,0.02297564223408699
0.0017857144121080637,test_ap_90,0.0035714288242161274
0.0,test_ap_95,0.0
0.4479142427444458,test_map_50,0.08017241954803467
0.18121877312660217,test_map_50_95,0.02115626074373722
0.3191542625427246,test_precision_iou50_score50,0.0472525991499424
0.5892857313156128,test_recall_iou50_score50,0.10309825092554092
0.41236060857772827,test_f1_iou50_score50,0.05803914740681648
16.5,test_tp_iou50_score50,2.886751174926758
35.5,test_fp_iou50_score50,6.608076095581055
11.5,test_fn_iou50_score50,2.886751174926758
