checkpoint,fold,test_accuracy,test_dice,test_iou,test_precision,test_sensitivity,test_specificity,training_seconds,val_accuracy,val_dice,val_iou,val_precision,val_sensitivity,val_specificity
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/pipelines and experiments/results/autosam_segmentation/ZGT_AutoSAM/fold0/net_best.pth,0.0,0.9027752315296846,0.017364002070002382,0.008910927316059063,0.011485671440724779,0.12812900036225525,0.9089961057400626,297.21427297592163,0.9026256942749024,0.022456057714381587,0.01146438827471258,0.013560007587720722,0.18999742766381778,0.9092315374577854
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/pipelines and experiments/results/autosam_segmentation/ZGT_AutoSAM/fold1/net_best.pth,1.0,0.9124688260695514,0.009565299847572277,0.004847431443994656,0.0061841500128613815,0.07001522867307326,0.9191528792012369,299.64952850341797,0.9135438919067382,0.012713068907012461,0.006501062696691024,0.007229072433806466,0.09763151735422597,0.9182337752173748
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/pipelines and experiments/results/autosam_segmentation/ZGT_AutoSAM/fold2/net_best.pth,2.0,0.6161543060751522,0.01655391930898694,0.008504049943446388,0.008769293919866276,0.4280799541446502,0.6168431660054524,298.7871494293213,0.7039589309692382,0.027737447102778333,0.014587721916284695,0.016426078801749445,0.3640788707280192,0.7069061773893013
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/pipelines and experiments/results/autosam_segmentation/ZGT_AutoSAM/fold3/net_best.pth,3.0,0.946840482599595,0.013343168659560898,0.006779167765252155,0.009872219817740724,0.0567744867781973,0.9538711376054229,298.31024289131165,0.9488984680175782,0.012800573213630942,0.0064757798866861135,0.008772201973758033,0.05400047793106457,0.9558005711708841
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/pipelines and experiments/results/autosam_segmentation/ZGT_AutoSAM/fold4/net_best.pth,4.0,0.8209872245788574,0.022127554393842154,0.011606350021935679,0.013741169946790078,0.25958095553836424,0.825708429177586,300.7263081073761,0.8201431655883789,0.017831444931875523,0.0090738428438942,0.009673452618475565,0.2724540895142116,0.823607628043022
