checkpoint,dataset,fold,test_accuracy,test_dice,test_iou,test_loss,test_precision,test_relative_area_diff,test_sensitivity,test_specificity,training_seconds,val_accuracy,val_dice,val_iou,val_loss,val_precision,val_relative_area_diff,val_sensitivity,val_specificity
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/VersaMammo/downstream/Segment/saved_model/ZGT_VersaMammo_fold0/VersaMammo (Enb5).pth,ZGT_VersaMammo_fold0,0.0,0.9873915452223557,0.42637174925626425,0.34163112496615,0.663754610488048,0.4601924800269486,0.9486544874492521,0.5153111960492563,0.9939539956910362,342.0753037929535,0.9927609252929688,0.6324041529931264,0.5019189699473423,0.42179555356502535,0.6928500245261475,0.4919856172037793,0.6919836164807869,0.995434776588759
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/VersaMammo/downstream/Segment/saved_model/ZGT_VersaMammo_fold1/VersaMammo (Enb5).pth,ZGT_VersaMammo_fold1,1.0,0.9898081559401292,0.47162270796011546,0.3726664036237634,0.6166412039444997,0.544198822941137,0.7459471743411749,0.5029535343246186,0.9971603807960329,345.4814531803131,0.9848229090372721,0.4395310581086666,0.34889207682965057,0.6898946532358726,0.5143071153624481,0.723871616068771,0.4820732509804387,0.9964635895800441
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/VersaMammo/downstream/Segment/saved_model/ZGT_VersaMammo_fold2/VersaMammo (Enb5).pth,ZGT_VersaMammo_fold2,2.0,0.9896064171424279,0.44725576092076846,0.3644050103299731,0.641215063058413,0.5593560646590936,1.0333987895825818,0.5150655590718309,0.9974483978739065,332.68184542655945,0.9874114990234375,0.5366168724411251,0.41878699069736025,0.5574603880997058,0.8463050735466168,0.6360070280859853,0.5186295793745838,0.998188141801864
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/VersaMammo/downstream/Segment/saved_model/ZGT_VersaMammo_fold3/VersaMammo (Enb5).pth,ZGT_VersaMammo_fold3,3.0,0.9883060455322266,0.4083121670610433,0.30690924648271484,0.6660829639205565,0.46273919483123793,1.4827401499566286,0.554818091336752,0.9948122274017517,345.9842917919159,0.9915526016898777,0.47939476392184327,0.38925779298938734,0.574228591569092,0.6344095662620722,0.8729695776892699,0.5701095526519757,0.9951883800065052
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/VersaMammo/downstream/Segment/saved_model/ZGT_VersaMammo_fold4/VersaMammo (Enb5).pth,ZGT_VersaMammo_fold4,4.0,0.9887767204871545,0.5011599674153377,0.3992683427768539,0.5922484902235178,0.47294018812910316,0.9021879618437454,0.6166577530831228,0.9953744657104081,350.7449674606323,0.9927880660347317,0.5780454624801187,0.472368760233254,0.4778194994382236,0.7598893622614464,0.4466685276457524,0.5951612300441164,0.9961883339310864
