mean,metric,std
0.9893094301223755,val_accuracy,0.00693668844178319
0.5321694612503052,val_dice,0.0423148050904274
0.41433295607566833,val_iou,0.06369525194168091
0.5989037156105042,val_precision,0.09869610518217087
0.8535597920417786,val_relative_area_diff,0.5143418312072754
0.6244330406188965,val_sensitivity,0.05665810778737068
0.9942173957824707,val_specificity,0.00477593531832099
0.632666826248169,val_loss,0.20783565938472748
0.9849985241889954,test_accuracy,0.0013169633457437158
0.4831453859806061,test_dice,0.01104116439819336
0.37571245431900024,test_iou,0.01001118402928114
0.6030311584472656,test_precision,0.09181468188762665
1.0485578775405884,test_relative_area_diff,0.30786240100860596
0.5591242909431458,test_sensitivity,0.0640367865562439
0.9926717877388,test_specificity,0.0027991703245788813
0.7384223937988281,test_loss,0.1867237538099289
