checkpoint,fold,test_accuracy,test_dice,test_iou,test_precision,test_sensitivity,test_specificity,training_seconds,val_accuracy,val_dice,val_iou,val_precision,val_sensitivity,val_specificity
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/pipelines and experiments/results/autosam_medsam_segmentation/ZGT_AutoSAM_MedSAM/fold0/net_best.pth,0.0,0.9865392797133502,0.00047635512479156616,0.00023981929298039963,0.0023512805974717447,0.0002696620897973531,0.994344458194135,297.99854373931885,0.9857558059692383,0.018362924867408585,0.009568793008880144,0.015932392988701357,0.025203029524596063,0.9941858844185942
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/pipelines and experiments/results/autosam_medsam_segmentation/ZGT_AutoSAM_MedSAM/fold1/net_best.pth,1.0,0.8787790747249827,0.01980193713471139,0.010207844120202944,0.012225481917766018,0.17005071180865172,0.8843820927407113,296.61615800857544,0.8737917709350586,0.018804851241795217,0.009618105435709436,0.010534854694910436,0.21109163122186067,0.8776672227840865
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/pipelines and experiments/results/autosam_medsam_segmentation/ZGT_AutoSAM_MedSAM/fold2/net_best.pth,2.0,0.9893161829780129,0.00781393101032016,0.004004697242234833,0.030777529372631778,0.00725504316597914,0.9970237143412883,300.2348663806915,0.9877074432373046,0.007103186924014626,0.003681073124659454,0.029973520530012187,0.004056018086975644,0.9976785328577544
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/pipelines and experiments/results/autosam_medsam_segmentation/ZGT_AutoSAM_MedSAM/fold3/net_best.pth,3.0,0.9907002168543199,0.0,0.0,0.0,0.0,0.9985558259466291,296.9960823059082,0.9907830810546875,0.0,0.0,0.0,0.0,0.9983704939659513
/export/home/rstanciu/FM_thesis_Razvan/FM_thesis/pipelines and experiments/results/autosam_medsam_segmentation/ZGT_AutoSAM_MedSAM/fold4/net_best.pth,4.0,0.9906437537249397,0.0013201976806682663,0.0006648325625028083,0.0012299634124836522,0.0018436558316905938,0.9984996350721072,298.8008699417114,0.992398567199707,0.0023707258194829678,0.0011971151649369427,0.007936298106430885,0.002276889603784178,0.9983452702712615
