row_number,source_index,image_path,mask_path,dice,iou,sensitivity,specificity,precision,accuracy,relative_area_diff
19,178,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.10189674.29003/L MLO_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.10436749.89675/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.10436747.86776_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.10189674.29003/L MLO_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.10436749.89675/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.10436747.86776_binarymask_R1.png,0.0,0.0,0.0,1.0,1.0,0.9942169189453125,1.0
20,190,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.15843244.699406/L CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.16022518.893952/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.16022516.688195_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.15843244.699406/L CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.16022518.893952/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.16022516.688195_binarymask_R1.png,0.8869470234844348,0.7968596663395485,0.8787878787878788,0.9996363218742822,0.8952590959206174,0.9992103576660156,0.0183982683982684
21,191,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.15843244.699406/L MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.15861860.870560/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.15861858.185891_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.15843244.699406/L MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.15861860.870560/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.15861858.185891_binarymask_R1.png,0.0,0.0,0.0,1.0,1.0,0.9971656799316406,1.0
22,192,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.15843244.699406/R CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.16214701.271206/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.16214699.702630_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.15843244.699406/R CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.16214701.271206/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.16214699.702630_binarymask_R2.png,0.35454545454545455,0.2154696132596685,1.0,0.997289548728951,0.2154696132596685,0.9972915649414062,3.641025641025641
23,198,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10673782.863480/L CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10950774.458346/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10950772.653012_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10673782.863480/L CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10950774.458346/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10950772.653012_binarymask_R1.png,0.7611836298601756,0.6144442777861107,0.6144903622590565,0.9999959808850895,0.9998779594825482,0.9803886413574219,0.38543463586589666
24,199,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10673782.863480/L MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10673783.506075/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10673780.434632_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10673782.863480/L MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10673783.506075/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10673780.434632_binarymask_R1.png,0.5341313657706,0.3643787398803238,0.5296224291415124,0.9824385527655713,0.5387177352206495,0.9655570983886719,0.016883249769773866
25,200,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10673782.863480/L MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10673783.506075/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10673780.434632_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10673782.863480/L MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10673783.506075/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10673780.434632_binarymask_R2.png,0.5445386411107016,0.3741347290224548,0.6644677661169416,0.9797396212530434,0.4612822647793505,0.9717178344726562,0.44047976011994006
26,231,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7741829.5041913/R CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7741830.1581482/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7741827.5907583_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7741829.5041913/R CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7741830.1581482/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7741827.5907583_binarymask_R1.png,0.576379974326059,0.4048692515779982,0.4089253187613843,0.9999578618327805,0.9760869565217392,0.9974822998046875,0.581056466302368
27,232,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7741829.5041913/R LM_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7780690.2465861/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7780688.9080358_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7741829.5041913/R LM_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7780690.2465861/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7780688.9080358_binarymask_R1.png,0.8324607329842932,0.7130044843049327,0.9499626587005228,0.9982937443683978,0.7408270238788585,0.998046875,0.28230022404779687
28,233,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7741829.5041913/R LM_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7780690.2465861/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7780688.9080358_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7741829.5041913/R LM_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7780690.2465861/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7780688.9080358_binarymask_R2.png,0.0,0.0,0.0,0.993439829443207,0.0,0.9918746948242188,3.1573849878934626
