epoch,last_iteration,mean_training_loss
1,13,1.6721105850659883
2,26,1.4733602358744695
3,39,1.3283361746714666
4,52,1.23192848609044
5,65,1.1588886242646437
6,78,1.1036138717944806
7,91,1.0484168116862957
8,104,1.0103203700138972
9,117,0.9503257091228778
10,130,0.8963998922934899
11,143,0.8262791129258963
12,156,0.7851814123300406
13,169,0.7137597249104426
14,182,0.6646852584985586
15,195,0.6245400263712957
16,208,0.5378859157745655
17,221,0.4950565810386951
18,234,0.45034261162464434
19,247,0.4129282900920281
20,260,0.4052506937430455
21,273,0.3920079366518901
22,286,0.34932845601668727
23,299,0.3507633300927969
24,312,0.32454627523055446
25,325,0.3295830304806049
26,338,0.263762524494758
27,351,0.2890898356070885
28,364,0.2745905484144504
29,377,0.31994138199549454
30,390,0.2856050855838336
31,403,0.27206543661080873
32,416,0.2642866155275932
33,429,0.263010085775302
34,442,0.2374597226197903
35,455,0.24457612748329455
36,468,0.23694068995805886
37,481,0.22194054436225158
38,494,0.228396115394739
39,507,0.2140699286873524
40,520,0.23256638531501478
41,533,0.2254779189825058
42,546,0.21625570838267988
43,559,0.23242610349104956
44,572,0.21370154733841235
45,585,0.24687907443596765
46,598,0.23807974962087777
47,611,0.24199707576861748
48,624,0.24210393199553856
49,637,0.22753402361503014
50,650,0.24374144180462912
51,663,0.22264664276288107
52,676,0.23161220149352
53,689,0.20539800708110517
54,702,0.19292378769471094
55,715,0.21461312014323014
56,728,0.20204793719144967
57,741,0.18079170126181382
58,754,0.18977279903797004
59,767,0.20336535687629992
60,780,0.19121734740642402
61,793,0.1973497959283682
62,806,0.2256372720003128
63,819,0.19124292238400534
64,832,0.19944249437405512
65,845,0.19517595378252175
66,858,0.1837920340207907
67,871,0.1669982333595936
68,884,0.1813499188193908
69,897,0.18411661512576616
70,910,0.2020869214947407
71,923,0.20177024259017065
72,936,0.17516513569996908
73,949,0.1558788837148593
74,962,0.17587097333027765
75,975,0.17805873602628708
76,988,0.17571230920461509
77,1001,0.17263902781101373
78,1014,0.18539593540705168
79,1027,0.18841968935269576
80,1040,0.18190149389780486
81,1053,0.17980680958582804
82,1066,0.1764062706094522
83,1079,0.17489613821873298
84,1092,0.17064502835273743
85,1105,0.1634840374955764
86,1118,0.17108078472889388
87,1131,0.15877393518502897
88,1144,0.15956510775364363
89,1157,0.16393739042373803
90,1170,0.18275429394382697
91,1183,0.17415670018929702
92,1196,0.18266136886981818
93,1209,0.16409941017627716
94,1222,0.1481844587967946
95,1235,0.17433745184769997
96,1248,0.16703867969604638
97,1261,0.1598800214437338
98,1274,0.1500083635059687
99,1287,0.1450808162872608
100,1300,0.14571243352614915
