epoch,memorized_accuracy,memorized_dice,memorized_iou,memorized_precision,memorized_sensitivity,memorized_specificity,train_loss
1.0,0.6432588577270508,0.2636027555879301,0.1518414007507209,0.19063608150678404,0.43228097909115554,0.6807671319394031,1.1788930773735047
2.0,0.5196037292480469,0.31870863144385514,0.1897372715067045,0.2023918221870178,0.7591933349250282,0.4780137022722165,0.8630368709564209
3.0,0.4389509201049805,0.3376206573300054,0.2035996740395864,0.20535696954964971,0.9627166068014172,0.34726436270469124,0.746122407913208
4.0,0.3805643081665039,0.32319344243871856,0.19333294608444052,0.19357002533906864,0.9941451287587612,0.27304016503641565,0.6795850038528443
5.0,0.3346658706665039,0.3091927443991387,0.18346539359456174,0.1834701344418565,0.9998538967630143,0.21817113234949947,0.6457575798034668
6.0,0.3242959976196289,0.3052194383128051,0.18059340266353976,0.18065756681136627,0.9979319703545929,0.20603196717645056,0.6161054015159607
7.0,0.48361968994140625,0.42353516116756945,0.2901510513046986,0.2901871407030506,0.9990788446323025,0.38821752741910853,0.6096534371376038
8.0,0.9112207412719726,0.7932603141308088,0.6690926861437738,0.6827247564834878,0.9844666727336255,0.8962359004109226,0.5939775705337524
9.0,0.9038236618041993,0.6524166685872641,0.5288092526564457,0.6785907823952327,0.642649524473877,0.9442481582841799,0.5835465550422668
10.0,0.8991132736206054,0.6885279289957891,0.5762380116549132,0.5892876720698595,0.8309676063241268,0.9053852098524505,0.6005722999572753
11.0,0.9055042266845703,0.683489502791965,0.5730371031449264,0.6717016172615563,0.7434371528534403,0.9278055571125167,0.5688017249107361
12.0,0.8251285552978516,0.40913794785873003,0.30777661913788906,0.35557847686267463,0.4975926818919235,0.8747452927175481,0.5526663422584533
13.0,0.8759880065917969,0.5651557155777589,0.44368106789077333,0.6746590825299108,0.6131494468985299,0.9146594727424505,0.5346306085586547
14.0,0.8504800796508789,0.5415567022503704,0.44012646763872765,0.5120162933990116,0.6203655029389358,0.8833057417503177,0.5233580350875855
15.0,0.8500553131103515,0.5727523431928645,0.43763297692306713,0.5718046851272636,0.7104534999846284,0.8668694910654509,0.5020062327384949
16.0,0.8698997497558594,0.5232368297284914,0.43615070181813875,0.6560584349366334,0.623659927814738,0.9057893831904658,0.487594348192215
17.0,0.8553377151489258,0.5088903928751061,0.397399813927839,0.5603252694752745,0.5271566809874321,0.9055265536096856,0.4685481607913971
18.0,0.8192508697509766,0.34403538840411607,0.23754683189030615,0.41008343785067536,0.34604159986762817,0.8959608469309416,0.4902906119823456
19.0,0.8953990936279297,0.6600541917585506,0.5473750020720018,0.6796848876128371,0.709124418205352,0.9212735000743724,0.5158920407295227
20.0,0.8532421112060546,0.430096831019672,0.3091757344981796,0.5926004554905526,0.4055583751735995,0.9248538388823059,0.47074092626571656
21.0,0.8515260696411133,0.4249314083516695,0.30211272171047077,0.590617385106563,0.40026623006544304,0.9239022495045672,0.46903284788131716
22.0,0.8402523040771485,0.27364167749813617,0.20676385399124203,0.47172189909672896,0.2801723806151909,0.9321029848212253,0.4587519347667694
23.0,0.8256710052490235,0.2846076316134516,0.21801925039361816,0.47341635916265623,0.2765569521697023,0.9163086977416912,0.4931552290916443
24.0,0.8102556228637695,0.3118125125183452,0.24618364151516925,0.3181458094948153,0.3068849711339886,0.8931283609420271,0.4797386109828949
25.0,0.8191810607910156,0.2884803960185359,0.214532987795178,0.4629512063882383,0.28682067866002786,0.9069311270762916,0.4657788038253784
26.0,0.8237680435180664,0.3234063100763371,0.24894012518372058,0.4715311769376022,0.32006962498572544,0.9059544842477892,0.4532301723957062
27.0,0.8038436889648437,0.3046304924647802,0.2380556552273628,0.4782777855242852,0.32623236980832737,0.8820681031639014,0.458914715051651
28.0,0.7819475173950196,0.3254672627301847,0.24497764613060413,0.3243618171647044,0.33519902684446307,0.8561920916179492,0.4611328482627869
29.0,0.7589982986450196,0.32008668760431197,0.22691943921423624,0.327131844367853,0.33921232009382274,0.8304765891992185,0.45313376784324644
30.0,0.7099145889282227,0.18865118312862642,0.10425820117199938,0.16339664937289206,0.2313962708362694,0.7948472000317024,0.44459215402603147
31.0,0.7502742767333984,0.2721970285146448,0.16950524061463174,0.32773759213425285,0.2785827882485024,0.8331613774804325,0.44532198905944825
32.0,0.7389951705932617,0.17352922931288006,0.09514295165629853,0.16579575845056854,0.18858978127684556,0.8364512539003541,0.43919458985328674
33.0,0.7322557449340821,0.17463087882960288,0.09580397481044552,0.1636089795677044,0.19478076724709018,0.8274992809107029,0.42703309655189514
34.0,0.7607503890991211,0.189335869191029,0.10482660599755297,0.3291574212457213,0.18782172980252304,0.863184876476969,0.4333531618118286
35.0,0.7409540176391601,0.17322520591317186,0.09492899674345465,0.16681156317655033,0.18607733626024792,0.8391281420881885,0.41476420164108274
36.0,0.7912979125976562,0.2988078324266811,0.21167841200606435,0.3290311642572262,0.2821755710755303,0.8773885938573771,0.45494130849838255
37.0,0.7777416229248046,0.12901575311488295,0.06901534491642904,0.15620518978608605,0.1118693232775547,0.8948778577104969,0.42143415808677676
38.0,0.7864355087280274,0.5797372774881633,0.4106256513358577,0.5202927346371604,0.89022766956487,0.76054199865827,0.4625137269496918
39.0,0.8392848968505859,0.589083024059077,0.4539599161197561,0.4683823355156017,0.8285539059513191,0.8330911639020966,0.4321824848651886
40.0,0.9108417510986329,0.7112985190861769,0.6152774333156678,0.694743815133292,0.7579661818959095,0.9313560559873,0.4234954595565796
41.0,0.8952230453491211,0.6835161019604393,0.5775021070593926,0.6036990018321148,0.8119610912411245,0.9029879525671296,0.4144624173641205
42.0,0.90537109375,0.7076902380550293,0.6168120811702034,0.6363586032034636,0.8210138673240849,0.9133329315974335,0.4136717915534973
43.0,0.8839057922363281,0.6728801793813839,0.5603044370819129,0.5749861327138083,0.8339020243377121,0.8861766767676637,0.40031211972236636
44.0,0.8896217346191406,0.5253602545291716,0.4197609965311916,0.7640395018260278,0.49871678365264815,0.9529986673263172,0.3931965947151184
45.0,0.8438282012939453,0.40757501892372716,0.31529077023493546,0.4923038943105052,0.37402220899227856,0.920784088233541,0.38819864988327024
46.0,0.7678558349609375,0.15120677358796453,0.08185658142734371,0.16686737357277814,0.1404527352800756,0.878367245742713,0.39874727725982667
