accuracy,dice,fold,hausdorff,image_id,iou,precision,relative_area_diff,seconds_per_image,sensitivity,specificity
0.9955911636352539,0.0,-1.0,nan,1_L_CC_R1,0.0,1.0,1.0,1.7978007793426514,0.0,1.0
0.9815168380737305,0.0,-1.0,606.3035278320312,16_L_CC_R1,0.0,0.0,0.42289852713809095,0.05505228042602539,0.0,0.9931563360343225
0.9916591644287109,0.0,-1.0,558.39501953125,16_L_MLO_R1,0.0,0.0,0.7638162544169611,0.05356240272521973,0.0,0.998395584833812
0.8570280075073242,0.0,-1.0,521.9904174804688,16_R_CC_R1,0.0,0.0,0.9633371365349376,0.054116010665893555,0.0,0.9941347027139446
0.8410062789916992,0.0,-1.0,723.729248046875,16_R_MLO_R1,0.0,0.0,0.8986490503715937,0.05392646789550781,0.0,0.982900152808568
0.9908313751220703,0.0,-1.0,521.21875,17_R_CC_R1,0.0,0.0,0.7541790851367112,0.053646087646484375,0.0,0.9981774668807206
0.9929094314575195,0.0,-1.0,270.54205322265625,17_R_MLO_R1,0.0,0.0,0.765565332890586,0.05382227897644043,0.0,0.9986456324042998
0.995448112487793,0.0,-1.0,669.1561889648438,21_R_MLO_R1,0.0,0.0,0.11756876663708962,0.052826881408691406,0.0,0.9975925193200563
0.9959602355957031,0.0,-1.0,907.6827392578125,29_L_CC_R1,0.0,0.0,1.3406940063091484,0.053802490234375,0.0,0.9971660676706375
0.9983339309692383,0.0,-1.0,807.2484130859375,29_L_MLO_R1,0.0,0.0,0.7723120168657766,0.05424904823303223,0.0,0.9996905896273037
0.9949026107788086,0.0,-1.0,1110.4052734375,33_L_CC_R1,0.0,0.0,5.291950886766712,0.05267977714538574,0.0,0.9955985772677777
0.9979572296142578,0.0,-1.0,nan,33_L_MLO_R1,0.0,1.0,1.0,0.053784847259521484,0.0,1.0
0.9960107803344727,0.0,-1.0,440.0284118652344,33_R_CC_R1,0.0,0.0,0.9856935014548982,0.05403757095336914,0.0,0.9999435110469413
0.9958868026733398,0.0,-1.0,743.36328125,33_R_MLO_R1,0.0,0.0,0.6320964161116397,0.05400824546813965,0.0,0.9988904013016741
0.9951353073120117,0.0015658641612840086,-1.0,731.9235229492188,46_R_CC_R1,0.0007835455435847208,0.0049504950495049506,0.8121367123924669,0.0531766414642334,0.0009300162752848175,0.9992300878599986
0.9966583251953125,0.0,-1.0,733.7901611328125,46_R_MLO_R1,0.0,0.0,0.7404744787922358,0.05464935302734375,0.0,0.9993096154692033
0.9957780838012695,0.0,-1.0,nan,49_R_CC_R1,0.0,1.0,1.0,0.05312156677246094,0.0,1.0
0.9949283599853516,0.0,-1.0,nan,49_R_LM_R1,0.0,1.0,1.0,0.053125858306884766,0.0,1.0
0.998438835144043,0.0,-1.0,nan,49_R_LM_R2,0.0,1.0,1.0,0.05299544334411621,0.0,1.0
0.9958343505859375,0.003194888178913738,-1.0,516.1027221679688,49_R_MLO_R1,0.0016,0.008413461538461538,0.7656338028169014,0.05296182632446289,0.001971830985915493,0.9992105459577082
0.9978847503662109,0.0,-1.0,685.263427734375,49_R_MLO_R2,0.0,0.0,0.3997113997113997,0.05361676216125488,0.0,0.9992054927950038
0.9796037673950195,0.0,-1.0,nan,59_R_CC_R1,0.0,1.0,1.0,0.05283069610595703,0.0,1.0
0.9882106781005859,0.0,-1.0,nan,59_R_MLO_R1,0.0,1.0,1.0,0.053739309310913086,0.0,1.0
0.9807529449462891,0.0,-1.0,nan,62_L_CC_R1,0.0,1.0,1.0,0.05417037010192871,0.0,1.0
0.9821882247924805,0.0,-1.0,582.3512573242188,62_L_MLO_R1,0.0,0.0,0.8541014786183201,0.05276012420654297,0.0,0.9976963547574924
0.9809694290161133,0.0,-1.0,399.0802001953125,67_L_CC_R1,0.0,0.0,0.8608859458842334,0.053641557693481445,0.0,0.997636408427072
0.9908962249755859,0.0,-1.0,374.0855407714844,67_L_MLO_R2,0.0,0.0,0.6175235336712527,0.05372786521911621,0.0,0.9974646505470537
0.9906988143920898,0.0,-1.0,456.7449951171875,67_L_XCCL_R1,0.0,0.0,0.9838508022504688,0.05365490913391113,0.0,0.9998508149354461
0.9938154220581055,0.0,-1.0,823.8931884765625,88_L_MLO_R1,0.0,0.0,0.4038887521535811,0.05384469032287598,0.0,0.99768121603082
0.9531927108764648,0.0,-1.0,634.5084838867188,92_L_CC_R1,0.0,0.0,0.9303009829348561,0.05450320243835449,0.0,0.9968105890835979
0.9752273559570312,0.0,-1.0,662.7216796875,92_L_MLO_R1,0.0,0.0,0.8504160028323597,0.0534052848815918,0.0,0.9967055888029006
0.9692802429199219,0.0,-1.0,nan,92_R_CC_R1,0.0,1.0,1.0,0.052979469299316406,0.0,1.0
0.9759531021118164,0.0,-1.0,934.3987426757812,92_R_MLO_R1,0.0,0.0,0.9395659853646228,0.05357098579406738,0.0,0.9985977724390562
0.9799461364746094,0.0,-1.0,538.186767578125,96_L_MLO_R1,0.0,0.0,0.7288115100955145,0.05369424819946289,0.0,0.995653243982272
