sample_id,dice,iou,sensitivity,specificity,precision,accuracy
ISPY1_1001,0.06220338983050847,0.03210006122627482,0.037710645293875876,0.9932610177012187,0.17746615087040618,0.9577865600585938
ISPY1_1002,0.5282763291567897,0.35895075931891396,0.37072243346007605,0.9997346562067374,0.9187279151943463,0.9946861267089844
ISPY1_1003,0.5596890616324264,0.38858905165767155,0.38858905165767155,1.0,1.0,0.9878997802734375
ISPY1_1004,0.27376912734490044,0.15859357614420294,0.15964755077658305,0.9996422139319483,0.960035922766053,0.9567298889160156
ISPY1_1005,0.3022179363548698,0.17800749744405317,0.17855515041020967,0.9998934356351236,0.9830614805520702,0.9723968505859375
ISPY1_1007,0.5195084485407067,0.35090267690392196,0.3641257536606374,0.9993203883495145,0.9062165058949625,0.988067626953125
ISPY1_1008,0.849789029535865,0.7388114453411592,0.9701348747591522,0.9975006536751927,0.756006006006006,0.997283935546875
ISPY1_1009,0.8745334481768591,0.7770408163265307,0.8092454835281615,0.9987746253181261,0.9512804497189257,0.9933319091796875
ISPY1_1010,0.8055937895722073,0.6744722042961188,0.7002297090352221,0.9984147543067828,0.9482825664290343,0.9865303039550781
ISPY1_1011,0.6736183524504692,0.5078616352201258,0.5159744408945687,0.9999233399260997,0.96996996996997,0.9976119995117188
ISPY1_1012,0.5369801842031817,0.3670354826402137,0.4170520231213873,0.996305206406921,0.7537215983285454,0.9810142517089844
ISPY1_1013,0.0,0.0,0.0,0.9952305734046958,0.0,0.990234375
ISPY1_1015,0.0,0.0,0.0,1.0,1.0,0.9983978271484375
ISPY1_1016,0.0,0.0,0.0,1.0,1.0,0.9760894775390625
ISPY1_1017,0.7563484410157506,0.6081674851382787,0.6514396456256921,0.9990059257654759,0.9015325670498084,0.9942169189453125
ISPY1_1021,0.018307567127746133,0.009238349414904538,0.00991626267078008,0.9973682962681967,0.11904761904761904,0.9631805419921875
ISPY1_1025,0.08193548387096775,0.042717793474604776,0.042732166890982505,0.9999961415585017,0.9921875,0.9891433715820312
ISPY1_1027,0.16769212208951623,0.09151962075322623,0.09188260179799049,0.9998821588498704,0.9586206896551724,0.9736824035644531
ISPY1_1029,0.6288350634371396,0.4586137281292059,0.5202290076335878,0.9986436707202416,0.7947521865889213,0.9938621520996094
ISPY1_1030,0.33135135135135135,0.19857466796242307,0.20737483085250338,0.9994945753661435,0.8239247311827957,0.9905624389648438
ISPY1_1031,0.23304028342737174,0.13188771721372344,0.13237924865831843,0.9999021281260276,0.9726177437020811,0.9777030944824219
ISPY1_1032,0.1903006012024048,0.10515591778880226,0.10515591778880226,1.0,1.0,0.9614677429199219
ISPY1_1034,0.0005482155583575462,0.0002741829348541347,0.0002741829348541347,1.0,1.0,0.9304542541503906
ISPY1_1035,0.0,0.0,0.0,1.0,1.0,0.93353271484375
ISPY1_1036,0.43494682437133486,0.2779118506287311,0.2809450436569081,0.9996658227051849,0.9626044874615046,0.9783134460449219
ISPY1_1037,0.0,0.0,0.0,1.0,1.0,0.9210968017578125
ISPY1_1038,0.436661997198319,0.2793138760880696,0.28003080082135523,0.999961277531675,0.9909173478655767,0.9892616271972656
ISPY1_1040,0.2610476726918941,0.15011778563015313,0.15033026657230478,0.99990211592737,0.9906723668869024,0.9449501037597656
ISPY1_1041,0.8305750856318731,0.7102423382869828,0.7150484231437795,0.9995569754019737,0.9906252687709641,0.9820747375488281
ISPY1_1042,0.174042764793635,0.09531590413943355,0.09531590413943355,1.0,1.0,0.9936637878417969
ISPY1_1049,0.09863484709413291,0.051875804573039905,0.051875804573039905,1.0,1.0,0.7639961242675781
ISPY1_1051,0.5223755750731911,0.35352391735069344,0.3762048192771084,0.9983327071200451,0.8543091655266758,0.982574462890625
ISPY1_1053,0.5630603705917513,0.391846921797005,0.42356115107913667,0.999655214686322,0.839572192513369,0.9972114562988281
ISPY1_1054,0.651625392163407,0.48326732673267325,0.5075915141430949,0.9980833808528163,0.9097856477166822,0.9800910949707031
ISPY1_1056,0.2540466749008646,0.14550599448953758,0.14674076299188946,0.9995458710434517,0.9453313981615868,0.9562263488769531
ISPY1_1058,0.4390896921017403,0.28130360205831906,0.3082706766917293,0.9988183138187772,0.7627906976744186,0.9904098510742188
ISPY1_1060,0.2168972713921311,0.12164036760880874,0.1221274373259053,0.9998164815524064,0.9682539682539683,0.9613533020019531
ISPY1_1061,0.6904283447911158,0.5272169277984171,0.5368421052631579,0.9995665146213447,0.9671111111111111,0.9888343811035156
ISPY1_1062,0.0006085192697768763,0.00030435223698894185,0.00039703546850185283,0.9909618678020959,0.0013020833333333333,0.9624099731445312
ISPY1_1064,0.5575202829207406,0.38650129795212,0.388631090487239,0.9998511251802169,0.986019131714496,0.9837722778320312
ISPY1_1065,0.3092132940681531,0.1828813137596417,0.18292682926829268,0.9999921293308357,0.998641304347826,0.974945068359375
ISPY1_1066,0.7479505142346102,0.5973809523809523,0.5973809523809523,1.0,1.0,0.9935493469238281
ISPY1_1067,0.29932677369238736,0.17600487210718635,0.17686658506731945,0.9999381943478731,0.9730639730639731,0.9896774291992188
ISPY1_1069,0.6386075949367088,0.4690841469084147,0.6122572815533981,0.9961135492644332,0.6673280423280423,0.9912872314453125
ISPY1_1070,0.8592,0.7531556802244039,0.8550955414012739,0.9986904541813028,0.8633440514469454,0.997314453125
ISPY1_1072,0.0,0.0,0.0,0.9964164086687306,0.0,0.9821853637695312
ISPY1_1073,0.0,0.0,0.0,1.0,1.0,0.9100189208984375
ISPY1_1074,0.06406570841889117,0.03309291472210437,0.035845588235294115,0.9993037604628262,0.30115830115830117,0.9913063049316406
ISPY1_1075,0.7546105445866782,0.6059233449477351,0.76138353765324,0.9954498866354008,0.7479569892473118,0.9913711547851562
ISPY1_1077,0.7933625547902317,0.6574987026466009,0.6598958333333333,0.9999731000983768,0.9945054945054945,0.9974822998046875
ISPY1_1078,0.34024896265560167,0.205,0.20648943196829592,0.9996480450502335,0.9660100424874469,0.9630012512207031
ISPY1_1082,0.5558252427184466,0.38487394957983195,0.40951359084406297,0.9993098076715455,0.8648036253776435,0.9930191040039062
ISPY1_1083,0.35565958468371145,0.21629316008467772,0.22379154078549848,0.9981559155336998,0.8658679135008767,0.95904541015625
ISPY1_1084,0.8519143550258411,0.742030316949931,0.7540141896938013,0.9993119412008018,0.979030303030303,0.989288330078125
ISPY1_1087,0.864098321909714,0.760715771951727,0.8309090909090909,0.9984247935936433,0.9000492368291482,0.9956130981445312
ISPY1_1088,0.796918581484925,0.6623978803267829,0.6738544474393531,0.9997011936730671,0.9749756256093598,0.9941673278808594
ISPY1_1089,0.14597254597254597,0.07873267769333929,0.07908621463852716,0.9996725712975999,0.9462726662189389,0.9371070861816406
ISPY1_1090,0.8233570531603182,0.6997509782995376,0.7317708333333334,0.9990419366899302,0.9411483253588516,0.993560791015625
ISPY1_1094,0.5298148418136754,0.3603728679095597,0.40057319223985893,0.9980357752864818,0.7821782178217822,0.9876976013183594
ISPY1_1096,0.19138576779026217,0.10581901014702837,0.10601659751037344,0.9999650246381994,0.9826923076923076,0.9835281372070312
ISPY1_1097,0.0,0.0,0.0,1.0,1.0,0.9702606201171875
ISPY1_1098,0.10624779385810096,0.05610438024231128,0.05619865571321882,0.9999649516332539,0.9709677419354839,0.980682373046875
ISPY1_1099,0.2056425156996907,0.11460509820309235,0.11460509820309235,1.0,1.0,0.9676704406738281
ISPY1_1100,0.7733913584084551,0.6305119107957425,0.6452282157676349,0.9998270667445507,0.9650892164468581,0.9972190856933594
ISPY1_1101,0.057796023504789504,0.0297579575596817,0.0297579575596817,1.0,1.0,0.9553489685058594
ISPY1_1102,0.25235633931286106,0.14439805149617257,0.14449860724233984,0.9999922860933691,0.9952038369304557,0.9906196594238281
ISPY1_1103,0.7171034855444475,0.558972198820556,0.6404440154440154,0.9988387831062168,0.8146101903007981,0.9960060119628906
ISPY1_1104,0.0,0.0,0.0,1.0,1.0,0.97772216796875
ISPY1_1106,0.0,0.0,0.0,1.0,1.0,0.9656829833984375
ISPY1_1107,0.8234209313047487,0.6998432601880877,0.8965863453815262,0.9978474122820505,0.7612958226768969,0.9970779418945312
ISPY1_1112,0.5380507343124166,0.3680365296803653,0.40625,0.9988077231757007,0.7964426877470355,0.9920806884765625
ISPY1_1114,0.13576422692273651,0.07282567413596658,0.07282567413596658,1.0,1.0,0.9627494812011719
ISPY1_1117,0.6660072535443455,0.49925852694018785,0.5327004219409283,0.9995120039347084,0.8883025505716798,0.9961357116699219
ISPY1_1122,0.7227022780832679,0.5658056580565806,0.6136606189967982,0.9987732008235422,0.8788689338937715,0.9932670593261719
ISPY1_1123,0.17331433998100665,0.09487912659214973,0.09668874172185431,0.9988342157672317,0.8352402745995423,0.946868896484375
ISPY1_1124,0.47209274530895184,0.3089799749687109,0.3109256926952141,0.9996792815907634,0.9801488833746899,0.9663009643554688
ISPY1_1125,0.0,0.0,0.0,1.0,1.0,0.973297119140625
ISPY1_1127,0.0,0.0,0.0,0.9996809115932892,0.0,0.9919471740722656
ISPY1_1128,0.0,0.0,0.0,1.0,1.0,0.9951629638671875
ISPY1_1129,0.4437107740585774,0.28510817055240495,0.2893009377664109,0.9985545742487976,0.9516264722378015,0.9350814819335938
ISPY1_1130,0.0,0.0,0.0,0.9801318397639792,0.0,0.973297119140625
ISPY1_1132,0.8248945147679325,0.7019748653500898,0.7562862669245648,0.9993847952137067,0.9071925754060325,0.997467041015625
ISPY1_1134,0.5139683058323803,0.34586631486367636,0.34586631486367636,1.0,1.0,0.9886512756347656
ISPY1_1135,0.7789115646258503,0.637883008356546,0.6746632996632996,0.9994726063256444,0.921264367816092,0.9965286254882812
ISPY1_1136,0.20649958028540594,0.11513773736293126,0.11513773736293126,1.0,1.0,0.9495162963867188
ISPY1_1137,0.6937644341801386,0.5311173974540311,0.568939393939394,0.9996396037174493,0.8887573964497042,0.9974708557128906
ISPY1_1139,0.17438326425893033,0.09552019372135259,0.09604347826086956,0.9994731207975112,0.9460385438972163,0.9202079772949219
ISPY1_1140,0.0,0.0,0.0,1.0,1.0,0.979248046875
ISPY1_1141,0.060410793395086586,0.031146179401993355,0.031146179401993355,1.0,1.0,0.9555015563964844
ISPY1_1142,0.01701556028210008,0.008580783561025178,0.009748589020010261,0.9958285498608206,0.06684256816182937,0.9665031433105469
ISPY1_1144,0.0,0.0,0.0,1.0,1.0,0.964752197265625
ISPY1_1145,0.0,0.0,0.0,1.0,1.0,0.914306640625
