sample_id,dice,iou,sensitivity,specificity,precision,accuracy
ISPY1_1001,0.11319296890090787,0.05999180999180999,0.06021372790793259,0.9998573760360047,0.9421221864951769,0.9649734497070312
ISPY1_1002,0.7476052572956114,0.5969405905371754,0.7975285171102662,0.9972811875096139,0.7035639412997904,0.9956779479980469
ISPY1_1003,0.03522060215868207,0.01792598303777949,0.01792598303777949,1.0,1.0,0.9805641174316406
ISPY1_1004,0.3445129469790382,0.20810367942797556,0.20863201911589008,0.9998633176818679,0.987977369165488,0.959442138671875
ISPY1_1005,0.17135123880907766,0.09370374587270865,0.09377848678213309,0.9999723722016988,0.9915662650602409,0.969635009765625
ISPY1_1007,0.6158572264482153,0.4449376453181146,0.4532730404823428,0.9996621359223301,0.9603102189781022,0.9899826049804688
ISPY1_1008,0.9244280101687081,0.8594757198109153,0.9633911368015414,0.9990348678038051,0.8884940026654821,0.9987525939941406
ISPY1_1009,0.9172602010250949,0.8471658674535841,0.915249734325186,0.997623872812392,0.9192795196797865,0.9952583312988281
ISPY1_1010,0.9136007827788649,0.8409438890389984,0.8936638591117917,0.9973976543131396,0.9344475580464372,0.9932632446289062
ISPY1_1011,0.53779963122311,0.367801597309794,0.6988817891373802,0.9956802048357175,0.4370629370629371,0.9942626953125
ISPY1_1012,0.0,0.0,0.0,1.0,1.0,0.973602294921875
ISPY1_1013,0.0,0.0,0.0,0.9999808302789578,0.0,0.9949607849121094
ISPY1_1015,0.0,0.0,0.0,0.9999808959056105,0.0,0.9983787536621094
ISPY1_1016,0.2609177873284348,0.15003188775510204,0.15012763241863433,0.9999843674279729,0.9957671957671957,0.9796638488769531
ISPY1_1017,0.6598039215686274,0.49231894659839065,0.5589700996677741,0.9981085513592128,0.8050239234449761,0.9920578002929688
ISPY1_1021,0.7988142292490119,0.6650213886146759,0.6680255619215514,0.9998379882087028,0.9932830930537353,0.9883499145507812
ISPY1_1025,0.0,0.0,0.0,1.0,1.0,0.9886627197265625
ISPY1_1027,0.1311434922203013,0.07017312012686666,0.0702009518773136,0.999988215884987,0.9943820224719101,0.9731597900390625
ISPY1_1029,0.41849039749888345,0.26461451567353855,0.35763358778625953,0.9964511952651778,0.5043057050592035,0.9900665283203125
ISPY1_1030,0.0,0.0,0.0,0.9847948207478742,0.0,0.9736900329589844
ISPY1_1031,0.8345470205935323,0.7160709486697124,0.7944245676803816,0.9971264817801719,0.8789378195612733,0.9919395446777344
ISPY1_1032,0.0,0.0,0.0,1.0,1.0,0.956939697265625
ISPY1_1034,0.0,0.0,0.0,1.0,1.0,0.9304351806640625
ISPY1_1035,0.0,0.0,0.0,1.0,1.0,0.93353271484375
ISPY1_1036,0.5838207504724197,0.4122506036345152,0.4165382639958911,0.999681548695529,0.9756390977443609,0.9823570251464844
ISPY1_1037,0.03884542756946318,0.019807427785419534,0.020885708760394507,0.9953367017311356,0.2772785622593068,0.9184494018554688
ISPY1_1038,0.6514246715577546,0.48304655870445345,0.48998973305954824,0.9997831541773798,0.971501272264631,0.9922065734863281
ISPY1_1040,0.4952338727554866,0.3291101944608132,0.32938192970040103,0.9999429009576325,0.997499553491695,0.9565696716308594
ISPY1_1041,0.8214384318056323,0.6969838945827233,0.7388254283585796,0.9960696808597116,0.9248523469070563,0.9802627563476562
ISPY1_1042,0.003234501347708895,0.0016198704103671706,0.0016339869281045752,0.9999385343516143,0.15789473684210525,0.9929466247558594
ISPY1_1049,0.0,0.0,0.0,1.0,1.0,0.7510833740234375
ISPY1_1051,0.6548030407740152,0.4867711276650398,0.5707831325301205,0.9955147473229382,0.7678282009724473,0.9847564697265625
ISPY1_1053,0.7446094873023479,0.5931297709923664,0.6987410071942446,0.9992414723099083,0.796923076923077,0.9979667663574219
ISPY1_1054,0.5488406881077038,0.37820843212039995,0.38155158069883527,0.9996634036621681,0.9773574853489612,0.97698974609375
ISPY1_1056,0.3119333049351914,0.18478731074260996,0.19247521778311805,0.9977735624608163,0.8222649983958935,0.9568672180175781
ISPY1_1058,0.589587852494577,0.41802522300830514,0.4257518796992481,0.9997721585467577,0.9583921015514809,0.9927825927734375
ISPY1_1060,0.09042553191489362,0.04735376044568245,0.04735376044568245,1.0,1.0,0.958251953125
ISPY1_1061,0.5612341026848798,0.39008020952692746,0.3919407894736842,0.9998867470632342,0.9879767827529021,0.9857864379882812
ISPY1_1062,0.5478194338179035,0.3772391991570074,0.5685547908946532,0.9849482300815435,0.5285433070866141,0.9729461669921875
ISPY1_1064,0.4321927929976128,0.27566705336426917,0.27566705336426917,1.0,1.0,0.9809455871582031
ISPY1_1065,0.3280973681473005,0.19624191139870584,0.19624191139870584,1.0,1.0,0.9753608703613281
ISPY1_1066,0.7186440677966102,0.5608465608465608,0.6309523809523809,0.9979646745029929,0.8346456692913385,0.9920845031738281
ISPY1_1067,0.0,0.0,0.0,0.9879633492482888,0.0,0.97564697265625
ISPY1_1069,0.672713529856387,0.5068337129840547,0.6750606796116505,0.9957735814068488,0.6703826453751129,0.9917411804199219
ISPY1_1070,0.6209113782499301,0.45023312385972025,0.884156050955414,0.9906752634498058,0.47845756139595,0.989654541015625
ISPY1_1072,0.0,0.0,0.0,1.0,1.0,0.9857177734375
ISPY1_1073,0.0,0.0,0.0,1.0,1.0,0.9100189208984375
ISPY1_1074,0.0,0.0,0.0,1.0,1.0,0.99169921875
ISPY1_1075,0.6571751412429379,0.4893975092561427,0.9549036777583187,0.9831311923471131,0.5009762260250373,0.9826393127441406
ISPY1_1077,0.8086664632285627,0.6787909836065574,0.6901041666666666,0.999877029021151,0.976418570375829,0.9976081848144531
ISPY1_1078,0.3495121023951337,0.21176289926289926,0.22770805812417438,0.9963524668842388,0.7514986376021798,0.9608383178710938
ISPY1_1082,0.6344086021505376,0.4645669291338583,0.5064377682403434,0.9990283325878742,0.8489208633093526,0.9937744140625
ISPY1_1083,0.14023259733692905,0.07540329889432662,0.09425981873111783,0.9866976826406968,0.27374424215836807,0.9416236877441406
ISPY1_1084,0.7345330510468125,0.5804442792081048,0.5829910380881255,0.9998130707308537,0.9925301970756516,0.9827804565429688
ISPY1_1087,0.0,0.0,0.0,1.0,1.0,0.98321533203125
ISPY1_1088,0.8820130026486876,0.7889295713978032,0.8227762803234502,0.9992588050851404,0.9504411001556824,0.9962615966796875
ISPY1_1089,0.0986353337899784,0.051876073823643516,0.052537045352492144,0.9990709210569398,0.8048151332760103,0.9347419738769531
ISPY1_1090,0.8206917173328018,0.6959093982420554,0.7658110119047619,0.9978969341974078,0.8840455228687997,0.9931373596191406
ISPY1_1094,0.8762193800130067,0.7797067901234568,0.8910934744268078,0.9974845501692494,0.8618336886993604,0.9956436157226562
