cached_image_finite_fraction,cached_image_max,cached_image_mean,cached_image_min,cached_image_nonzero_pixels,cached_image_numel,cached_image_shape,cached_image_std,cached_mask_finite_fraction,cached_mask_max,cached_mask_mean,cached_mask_min,cached_mask_nonzero_pixels,cached_mask_numel,cached_mask_shape,cached_mask_std,gt_positive_pixels_at_0.5,image_name,model_input_finite_fraction,model_input_max,model_input_mean,model_input_min,model_input_nonzero_pixels,model_input_numel,model_input_shape,model_input_std,possible_double_scaling,prediction_positive_pixels,probability_finite_fraction,probability_max,probability_mean,probability_min,probability_nonzero_pixels,probability_numel,probability_shape,probability_std,processed_mask_finite_fraction,processed_mask_max,processed_mask_mean,processed_mask_min,processed_mask_nonzero_pixels,processed_mask_numel,processed_mask_shape,processed_mask_std
1.0,1.0,0.1574118584394455,0.0,773922,786432,3x512x512,0.1826542466878891,1.0,1.0,0.033477783203125,0.0,8776,262144,1x512x512,0.17988057434558868,8776,ISPY1_1005,1.0,1.0,-0.6851761937141418,-1.0,786393,786432,3x512x512,0.3653084933757782,False,12139,1.0,1.0,0.046273764222860336,1.089992451852595e-06,262144,262144,1x512x512,0.20652583241462708,1.0,1.0,0.033477783203125,0.0,8776,262144,1x512x512,0.17988057434558868
1.0,1.0,0.2503557503223419,0.0,786423,786432,3x512x512,0.19961249828338623,1.0,1.0,0.0177154541015625,0.0,4644,262144,1x512x512,0.13191518187522888,4644,ISPY1_1007,1.0,1.0,-0.49928852915763855,-1.0,786345,786432,3x512x512,0.39922499656677246,False,2983,1.0,1.0,0.011421426199376583,1.133661498897709e-06,262144,262144,1x512x512,0.10430767387151718,1.0,1.0,0.0177154541015625,0.0,4644,262144,1x512x512,0.13191518187522888
1.0,1.0,0.09380859136581421,0.0,761112,786432,3x512x512,0.15378722548484802,1.0,1.0,0.0137786865234375,0.0,3612,262144,1x512x512,0.11657115817070007,3612,ISPY1_1017,1.0,1.0,-0.8123827576637268,-1.0,786408,786432,3x512x512,0.30757445096969604,False,2609,1.0,1.0,0.009968901053071022,4.765853134358622e-07,262144,262144,1x512x512,0.09780129790306091,1.0,1.0,0.0137786865234375,0.0,3612,262144,1x512x512,0.11657115817070007
1.0,1.0,0.1844128966331482,0.0,764373,786432,3x512x512,0.20128072798252106,1.0,1.0,0.0288543701171875,0.0,7564,262144,1x512x512,0.16739711165428162,7564,ISPY1_1027,1.0,1.0,-0.6311742663383484,-1.0,786351,786432,3x512x512,0.4025614559650421,False,8897,1.0,1.0,0.03391290083527565,1.4271450936576002e-06,262144,262144,1x512x512,0.1782238930463791,1.0,1.0,0.0288543701171875,0.0,7564,262144,1x512x512,0.16739711165428162
1.0,1.0,0.11671022325754166,0.0,755172,786432,3x512x512,0.16601422429084778,1.0,1.0,0.0297088623046875,0.0,7788,262144,1x512x512,0.16978293657302856,7788,ISPY1_1036,1.0,1.0,-0.7665794491767883,-1.0,786411,786432,3x512x512,0.33202844858169556,False,4916,1.0,1.0,0.01885785162448883,5.500291990756523e-07,262144,262144,1x512x512,0.13275524973869324,1.0,1.0,0.0297088623046875,0.0,7788,262144,1x512x512,0.16978293657302856
1.0,1.0,0.14914250373840332,0.0011574074160307646,786432,786432,3x512x512,0.1906415820121765,1.0,1.0,0.0646820068359375,0.0,16956,262144,1x512x512,0.245963916182518,16956,ISPY1_1040,1.0,1.0,-0.7017149925231934,-0.9976851940155029,786387,786432,3x512x512,0.381283164024353,False,14628,1.0,0.9999946355819702,0.05534344166517258,7.910099952823657e-07,262144,262144,1x512x512,0.22494296729564667,1.0,1.0,0.0646820068359375,0.0,16956,262144,1x512x512,0.245963916182518
1.0,1.0,0.21414382755756378,0.0,786414,786432,3x512x512,0.19138288497924805,1.0,1.0,0.0070037841796875,0.0,1836,262144,1x512x512,0.08339503407478333,1836,ISPY1_1042,1.0,1.0,-0.57171231508255,-1.0,786306,786432,3x512x512,0.3827657699584961,False,2624,1.0,0.9999996423721313,0.009991856291890144,5.27026429608668e-07,262144,262144,1x512x512,0.09753114730119705,1.0,1.0,0.0070037841796875,0.0,1836,262144,1x512x512,0.08339503407478333
1.0,1.0,0.1574314385652542,0.0,755010,786432,3x512x512,0.21170347929000854,1.0,1.0,0.02532958984375,0.0,6640,262144,1x512x512,0.15712416172027588,6640,ISPY1_1051,1.0,1.0,-0.6851370930671692,-1.0,786351,786432,3x512x512,0.4234069585800171,False,7802,1.0,1.0,0.029761238023638725,1.429831513632962e-06,262144,262144,1x512x512,0.16434785723686218,1.0,1.0,0.02532958984375,0.0,6640,262144,1x512x512,0.15712416172027588
1.0,1.0,0.2502475678920746,0.0,786429,786432,3x512x512,0.2306600660085678,1.0,1.0,0.004241943359375,0.0,1112,262144,1x512x512,0.06499191373586655,1112,ISPY1_1053,1.0,1.0,-0.49950483441352844,-1.0,786120,786432,3x512x512,0.461320161819458,False,1705,1.0,0.9999997615814209,0.006533025298267603,1.302405507885851e-06,262144,262144,1x512x512,0.07849697023630142,1.0,1.0,0.004241943359375,0.0,1112,262144,1x512x512,0.06499191373586655
1.0,1.0,0.2700572609901428,0.0,786408,786432,3x512x512,0.3021821081638336,1.0,1.0,0.0142822265625,0.0,3744,262144,1x512x512,0.11865177750587463,3744,ISPY1_1072,1.0,1.0,-0.45988547801971436,-1.0,786345,786432,3x512x512,0.6043642163276672,False,2120,1.0,0.9979988932609558,0.008231794461607933,1.5799554375917069e-06,262144,262144,1x512x512,0.08081606775522232,1.0,1.0,0.0142822265625,0.0,3744,262144,1x512x512,0.11865177750587463
