mean,metric,std
0.9966325759887695,val_accuracy,0.0
0.8394631147384644,val_dice,0.0
0.7380533218383789,val_iou,0.0
0.8983696699142456,val_precision,0.0
0.29193931818008423,val_relative_area_diff,0.0
0.8303173184394836,val_sensitivity,0.0
0.9987928867340088,val_specificity,0.0
0.2282649725675583,val_loss,0.0
0.9959923624992371,test_accuracy,0.0
0.7599272131919861,test_dice,0.0
0.686302661895752,test_iou,0.0
0.8700461983680725,test_precision,0.0
0.4279448986053467,test_relative_area_diff,0.0
0.7867297530174255,test_sensitivity,0.0
0.9980055689811707,test_specificity,0.0
0.29689210653305054,test_loss,0.0
