mean,metric,std
0.9916413426399231,val_accuracy,0.0
0.09136217087507248,val_dice,0.0
0.056530557572841644,val_iou,0.0
0.7631384134292603,val_precision,0.0
1.2686691284179688,val_relative_area_diff,0.0
0.11104130744934082,val_sensitivity,0.0
0.9972586631774902,val_specificity,0.0
0.972102701663971,val_loss,0.0
0.9899366497993469,test_accuracy,0.0
0.08051379024982452,test_dice,0.0
0.05087153986096382,test_iou,0.0
0.6817439198493958,test_precision,0.0
0.941649854183197,test_relative_area_diff,0.0
0.1118226945400238,test_sensitivity,0.0
0.9954970479011536,test_specificity,0.0
0.9855985045433044,test_loss,0.0
