epoch,memorized_accuracy,memorized_dice,memorized_iou,memorized_precision,memorized_sensitivity,memorized_specificity,train_loss
1.0,0.6134178161621093,0.015774486846461995,0.007985049289136703,0.008124590676652454,0.5384437493616774,0.6145024268946356,1.4370965480804443
2.0,0.8747730255126953,0.017270855190884477,0.008739229212439737,0.009287712679286922,0.21482362861254511,0.8795199123429326,1.1987773656845093
3.0,0.8984506607055665,0.016302483849380708,0.008237305701778146,0.008913800053175156,0.17432261694417112,0.9035966447810274,1.1629685640335083
4.0,0.9022516250610352,0.015495488449984648,0.007828149219966659,0.008577387721608666,0.14748847936736953,0.9075218603847391,1.1415811061859131
5.0,0.9024299621582031,0.015693066851064634,0.007929674842007428,0.008684211386132706,0.14896676858645408,0.9076902298105006,1.1364551544189454
6.0,0.9061529159545898,0.015415767808392941,0.0077880888207428845,0.00855409290099436,0.1417136584981305,0.911465781923446,1.138436245918274
7.0,0.8986959457397461,0.016225768669128567,0.008199477864057893,0.008920270356689113,0.16654225786137847,0.9038655192416349,1.120936131477356
8.0,0.9037357330322265,0.014530273249098103,0.00733170074772069,0.007987822810354994,0.14405980724870746,0.9090718511788403,1.1163649559020996
9.0,0.9578752517700195,0.0087771494007508,0.004423161749691038,0.006275284731323484,0.03129408139928387,0.9638198486637435,1.1095862627029418
10.0,0.9858592987060547,0.0,0.0,0.0,0.0,0.9924599375475859,1.108022403717041
11.0,0.988731575012207,5.093162429438479e-05,2.546905509805586e-05,0.00011305822498586772,3.286950805302947e-05,0.9953598957243492,1.0912508249282837
12.0,0.9790634155273438,0.00578765659280586,0.0029254083153604227,0.004098366424280039,0.01104998743224692,0.9853351887277654,1.0770177364349365
13.0,0.9800033569335938,0.03627898727293783,0.019473369886148784,0.030322700245558266,0.061425683355382066,0.9862058321548769,1.0725471735000611
14.0,0.9653522491455078,0.05514914666768409,0.029399904178387552,0.05353889831448337,0.15067980618889074,0.9711399160059342,1.0653884649276733
15.0,0.9667980194091796,0.033067828371191696,0.01720223193635826,0.02513137893866795,0.10483240550261741,0.9727546796565164,1.07082257270813
16.0,0.9690498352050781,0.06265808100975553,0.03348183351434578,0.057188694795105355,0.12710398371376383,0.9746693204533312,1.0626758098602296
17.0,0.9520992279052735,0.09493101134312806,0.05284870077136448,0.10323349811570474,0.17412182554639424,0.9573741563799851,1.0596980452537537
18.0,0.9517206192016602,0.103559344067978,0.05833140015922065,0.15463507400566406,0.1698157674215604,0.9570872948267072,1.0533767580986022
19.0,0.9781633377075195,0.03303877970726598,0.017296936962123557,0.0760077832393494,0.06291450090251238,0.9843608843964506,1.0594582676887512
20.0,0.985103988647461,0.037888721681519154,0.019964930441654195,0.041017426255762914,0.03816818700347854,0.9912224621482121,1.0762979984283447
21.0,0.9845905303955078,0.035094172382548604,0.018358629516032718,0.03587306176520076,0.03673500321371215,0.9907535126123783,1.0678410530090332
22.0,0.9872903823852539,0.047564247587168915,0.02538351189104255,0.055100914927191005,0.043995646108478746,0.993342658973406,1.063626480102539
23.0,0.9846420288085938,0.06336018865412095,0.03432203777045882,0.07079819986500564,0.06297584812928868,0.9904868175656805,1.0599814891815185
24.0,0.9814725875854492,0.06891191950190018,0.037531631617271376,0.08887933250715138,0.07586713605949691,0.9872805941044056,1.0640347838401794
25.0,0.9707895278930664,0.036150640624482054,0.018780191443873686,0.054570996461329166,0.07885361769971774,0.9768702948357365,1.0513596773147582
26.0,0.95877685546875,0.06020794159822116,0.033289244489462126,0.08298028307575724,0.12907091629272088,0.9644064661390205,1.053760552406311
27.0,0.9598962783813476,0.049477614371022584,0.02711183686946427,0.058125766297410376,0.13013154724633147,0.9655456976599807,1.0736265659332276
28.0,0.9661308288574219,0.061265860405202245,0.03361803060780886,0.07392868374221188,0.12782991448063152,0.9717428519559019,1.067794108390808
29.0,0.965604591369629,0.06362148274091611,0.034670514619012285,0.07567792413138431,0.14656489661212388,0.9711909745738152,1.0544508934020995
30.0,0.9612102508544922,0.055048081015352045,0.029546186654150763,0.06061439926922133,0.14396771588967103,0.9668469086783051,1.050645661354065
31.0,0.9536998748779297,0.05575303010304204,0.030787909546772192,0.0992637128689048,0.13695753730302757,0.9592829300869132,1.0548282027244569
32.0,0.9496435165405274,0.03177355859443844,0.016461977496441287,0.08463082610796477,0.11657044687714531,0.9555835614080539,1.0489108324050904
33.0,0.9549325942993164,0.03717398544817283,0.01952431392329997,0.09391173170163972,0.10817772277121093,0.960888106134408,1.0489143252372741
34.0,0.9607341766357422,0.07257927136861231,0.03938860199467882,0.12674065364538198,0.1277335025387521,0.9664531019281648,1.0439529061317443
